,QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote,year
0,USGALLUP.47-392.Q09B,"PEACE TREATY WITH GERMANY, CONTROL OF GERMANY",41,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.,1947
12,USHICK.87NWPC.R010D,Man,44,"(Let's assume again that all you know about two candidates for office is that one is a man and one is a woman. For each of the issues, tell me whether you think the man or the woman probably would do a better job dealing with it in office.)... Arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.,1987
22,USABCWP.256.R12,"Yes, he does",51,"Thinking about Mikhail Gorbachev, the leader of the Soviet Union: Do you think Gorbachev seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,,1987
28,USABC.877222.Q19B,Favorable,77,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. I'm going to mention some of them and for each please tell me whether you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal. How about Reagan's proposal for working toward an arms control agreement with the Soviets. Do you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,,1987
34,USGBUSA.873039.Q33,Tried too hard,15,Do you think the Reagan administration has tried too hard or not hard enough to reach an arms control agreement with the Soviets?,,,09/1/1987,Gordon S. Black Corporation,USA Today,Gordon Black/USA Today Poll,09/1/1987,09/30/1987,N,National adults,1005,Telephone Interview,,1987
38,USLAT.128.R43,Haven't heard enough,32,"Would you consider it was appropriate, or not, for leaders of your religion to take a public position involving nuclear weapons and arms control--or haven't you heard enough about that yet to say?",,,08/1/1987,Los Angeles Times,,Los Angeles Times Poll,08/14/1987,08/19/1987,Y,National adult including an oversample of Catholics,2040,Telephone Interview,,1987
43,USCBSNYT.291487.R10,Live up to agreement,65,"If the United States and the Soviet Union reached an agreement on arms control this year, do you think the United States would live up to the agreement or would it cheat?",,,09/14/1987,CBS News; New York Times,,CBS News/New York Times Poll,09/9/1987,09/10/1987,Y,National Adult,839,Telephone Interview,,1987
46,USPENN.112487.R13,Abide,40,Should the United States continue to abide by arms control treaties that the Soviets are violating?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,,1987
52,USORC.87DEC.R5,Improved,56,"(From what you have heard or read about this new policy of Glasnost, or openness) Do you think the chances of negotiating a satisfactory arms control agreement with Russia have now improved, not changed, or gotten worse?",,Heard/read of Glasnost (60%),12/1/1987,Opinion Research Corporation,,ORC Issue Watch,11/13/1987,11/15/1987,Y,National adult,1006,Telephone Interview,,1987
56,USABCWP.274.R24,"Yes, will lead to important",,Do you think the (Reagan-Gorbachev) summit meeting will lead to important accomplishments in arms control or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,,1987
60,USCBSNYT.87NOV2.R30,"Yes, will",34,"Do you think the upcoming (Reagan-Gorbachev) summit meeting will lead to real arms control agreements, or not?",,,11/1/1987,CBS News; New York Times,,CBS News/New York Times Poll,11/20/1987,11/24/1987,Y,National Adult,1553,Telephone Interview,,1987
85,USABC.276.R02,Approve,81,"As you may know, President Reagan met with Soviet leader Mikhail Gorbachev in Washington this week for summit negotiations on arms control and other issues. Do you approve or disapprove of the way Reagan handled the summit meeting?",,,12/11/1987,Chilton Research Services,ABC News,ABC News Poll,12/10/1987,12/10/1987,Y,National Adult,505,Telephone Interview,,1987
88,USGALNEW.122187.R09,Should,76,Should Reagan and Gorbachev sign a strategic-arms reduction treaty next year in Moscow?,,,12/21/1987,Gallup Organization,Newsweek Magazine,Gallup/Newsweek Poll,12/11/1987,12/11/1987,Y,National adult,507,Telephone Interview,,1987
91,USROPER.844056.R03,A. The Congressional hearing on the,,"Many significant events occurred during the course of this past year. I would like to take a moment to read you a list of those events. When I am through reading the list, I would like you to tell me which one of those events you think was the most significant event of 1987.",,,12/1/1987,Roper Organization,U.S. News & World Report,Roper/U.S. News & World Report Poll,12/14/1987,12/16/1987,Y,National adult,1003,Telephone Interview,,1987
100,USMOR.188ATS.R14,Can be trusted,35,"In reaching agreements on nuclear arms control, do you think the Soviet Union can be trusted to keep their part of the bargain or not?",,,01/1/1988,Market Opinion Research,Americans Talk Security Project,National Security Issues,01/7/1988,01/14/1988,Y,Registered Voters,1000,Telephone Interview,,1988
