QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGALLUP.47-392.Q09B,"PEACE TREATY WITH GERMANY, CONTROL OF GERMANY",41,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,PEACE TREATY WITH AUSTRIA,8,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,"PEACE TREATIES, WORLD PEACE",30,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,GREEK SITUATION,12,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,TURKISH SITUATION,6,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,CONTROL OF ATOMIC BOMB,10,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,CHINESE PROBLEM,6,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,ARMS REDUCTION,2,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,AID TO OTHER COUNTRIES,2,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,COMMUNISM,1,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
USGALLUP.47-392.Q09B,MISCELLANEOUS,3,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.
